animal,neuron_id,region6,region9,region_raw,ei
night1,30,PVH,PVH,paraventricular hypothalamus,E
night1,31,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,1,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,2,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,3,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,4,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,5,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,6,VMH,Ventromedial HT,ventromedial hypothalamus,E
night2,7,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,8,VMH,Ventromedial HT,ventromedial hypothalamus,E
night2,9,VMH,Ventromedial HT,ventromedial hypothalamus,E
night2,10,PVH,PVH,paraventricular hypothalamus,E
night2,11,VMH,Ventromedial HT,ventromedial hypothalamus,E
night2,12,PVH,PVH,paraventricular hypothalamus,E
night2,13,VMH,Ventromedial HT,ventromedial hypothalamus,E
night2,14,DMH,DMH,dorsomedial hypothalamus,E
night2,15,DMH,DMH,dorsomedial hypothalamus,E
night2,16,VMH,Ventromedial HT,ventromedial hypothalamus,E
night2,17,VMH,Ventromedial HT,ventromedial hypothalamus,E
night2,18,DMH,DMH,dorsomedial hypothalamus,E
night2,19,DMH,DMH,dorsomedial hypothalamus,E
night2,20,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,21,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,22,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,23,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,24,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,25,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,26,AH,Anterior HT,anterior hypothalamus,E
night2,27,AH,Anterior HT,anterior hypothalamus,E
night2,28,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night2,29,AH,Anterior HT,anterior hypothalamus,E
night2,30,AH,Anterior HT,anterior hypothalamus,E
night2,31,AH,Anterior HT,anterior hypothalamus,E
night2,32,PVH,PVH,paraventricular hypothalamus,E
night2,33,AH,Anterior HT,anterior hypothalamus,E
night2,34,AH,Anterior HT,anterior hypothalamus,E
night3,1,PVH,PVH,paraventricular hypothalamus,E
night3,2,PVH,PVH,paraventricular hypothalamus,E
night3,3,PVH,PVH,paraventricular hypothalamus,E
night3,4,PVH,PVH,paraventricular hypothalamus,E
night3,5,PVH,PVH,paraventricular hypothalamus,E
night3,6,PVH,PVH,paraventricular hypothalamus,E
night3,7,PVH,PVH,paraventricular hypothalamus,E
night3,8,PVH,PVH,paraventricular hypothalamus,E
night3,9,PVH,PVH,paraventricular hypothalamus,E
night3,10,PVH,PVH,paraventricular hypothalamus,E
night3,11,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,12,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,13,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,14,PVH,PVH,paraventricular hypothalamus,E
night3,15,PVH,PVH,paraventricular hypothalamus,E
night3,16,PVH,PVH,paraventricular hypothalamus,E
night3,17,PVH,PVH,paraventricular hypothalamus,E
night3,18,PVH,PVH,paraventricular hypothalamus,E
night3,19,PVH,PVH,paraventricular hypothalamus,E
night3,20,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,21,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,22,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,23,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,24,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,25,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,26,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,27,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,28,PVH,PVH,paraventricular hypothalamus,E
night3,29,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,30,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,31,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,32,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night3,33,PVH,PVH,paraventricular hypothalamus,E
night4,1,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night4,2,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night4,3,PVH,PVH,paraventricular hypothalamus,E
night4,4,PVH,PVH,paraventricular hypothalamus,E
night4,5,PVH,PVH,paraventricular hypothalamus,E
night4,6,PVH,PVH,paraventricular hypothalamus,E
night4,7,PVH,PVH,paraventricular hypothalamus,E
night4,8,AH,Anterior HT,anterior hypothalamus,E
night4,9,PVH,PVH,paraventricular hypothalamus,E
night4,10,PVH,PVH,paraventricular hypothalamus,E
night4,11,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night4,12,DMH,DMH,dorsomedial hypothalamus,E
night4,13,DMH,DMH,dorsomedial hypothalamus,E
night4,14,DMH,DMH,dorsomedial hypothalamus,E
night4,15,DMH,DMH,dorsomedial hypothalamus,E
night4,16,DMH,DMH,dorsomedial hypothalamus,I
night4,17,DMH,DMH,dorsomedial hypothalamus,E
night4,18,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night4,19,PVH,PVH,paraventricular hypothalamus,E
night4,20,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night4,21,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night4,22,PVH,PVH,paraventricular hypothalamus,E
night4,23,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night4,24,PVH,PVH,paraventricular hypothalamus,E
night4,25,PVH,PVH,paraventricular hypothalamus,E
night4,26,PVH,PVH,paraventricular hypothalamus,E
night4,27,PVH,PVH,paraventricular hypothalamus,E
night4,28,PVH,PVH,paraventricular hypothalamus,E
night4,29,PVH,PVH,paraventricular hypothalamus,E
night4,30,PVH,PVH,paraventricular hypothalamus,E
night4,31,PVH,PVH,paraventricular hypothalamus,E
night4,32,PVH,PVH,paraventricular hypothalamus,E
night4,33,PVH,PVH,paraventricular hypothalamus,E
night4,34,PVH,PVH,paraventricular hypothalamus,E
night4,35,PVH,PVH,paraventricular hypothalamus,E
night5,1,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,2,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,3,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,4,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,5,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,6,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,7,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,8,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,9,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,10,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,11,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,12,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,13,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,14,PVH,PVH,paraventricular hypothalamus,E
night5,15,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,16,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,17,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,18,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,19,VMH,Ventromedial HT,ventromedial hypothalamus,E
night5,20,VMH,Ventromedial HT,ventromedial hypothalamus,E
night5,21,VMH,Ventromedial HT,ventromedial hypothalamus,E
night5,22,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,23,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night5,24,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day2,1,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day2,2,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day2,3,PH,PH,posterior hypothalamus,E
day2,4,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day2,5,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day2,6,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day2,7,DMH,DMH,dorsomedial hypothalamus,E
day2,8,DMH,DMH,dorsomedial hypothalamus,I
day2,9,DMH,DMH,dorsomedial hypothalamus,I
day2,10,DMH,DMH,dorsomedial hypothalamus,E
day2,11,DMH,DMH,dorsomedial hypothalamus,E
day2,12,DMH,DMH,dorsomedial hypothalamus,I
day2,13,PH,PH,posterior hypothalamus,E
day2,14,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day2,15,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day2,16,VM-thalamus,VM-thalamus,ventromedial thalamus,E
day2,17,PVH,PVH,paraventricular hypothalamus,I
day2,18,PH,PH,posterior hypothalamus,E
day2,19,PH,PH,posterior hypothalamus,I
day2,20,PH,PH,posterior hypothalamus,E
day2,21,PH,PH,posterior hypothalamus,E
day2,22,PH,PH,posterior hypothalamus,E
day2,23,PH,PH,posterior hypothalamus,I
day2,24,PH,PH,posterior hypothalamus,I
day2,25,DMH,DMH,dorsomedial hypothalamus,I
day2,26,VM-thalamus,VM-thalamus,ventromedial thalamus,I
day2,27,PH,PH,posterior hypothalamus,E
day2,28,DMH,DMH,dorsomedial hypothalamus,I
day2,29,PH,PH,posterior hypothalamus,E
day2,30,DMH,DMH,dorsomedial hypothalamus,E
day2,31,DMH,DMH,dorsomedial hypothalamus,E
night6,1,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night6,2,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night6,3,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,4,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,5,DMH,DMH,dorsomedial hypothalamus,I
night6,6,DMH,DMH,dorsomedial hypothalamus,E
night6,7,DMH,DMH,dorsomedial hypothalamus,I
night6,8,DMH,DMH,dorsomedial hypothalamus,I
night6,9,DMH,DMH,dorsomedial hypothalamus,I
night6,10,DMH,DMH,dorsomedial hypothalamus,I
night6,11,DMH,DMH,dorsomedial hypothalamus,E
night6,12,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,13,DMH,DMH,dorsomedial hypothalamus,E
night6,14,DMH,DMH,dorsomedial hypothalamus,I
night6,15,DMH,DMH,dorsomedial hypothalamus,I
night6,16,DMH,DMH,dorsomedial hypothalamus,E
night6,17,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,18,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,19,PVH,PVH,paraventricular hypothalamus,I
night6,20,PVH,PVH,paraventricular hypothalamus,I
night6,21,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,22,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,23,VMH,Ventromedial HT,ventromedial hypothalamus,I
night6,24,VMH,Ventromedial HT,ventromedial hypothalamus,E
night6,25,VMH,Ventromedial HT,ventromedial hypothalamus,I
night6,26,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,27,DMH,DMH,dorsomedial hypothalamus,E
night6,28,DMH,DMH,dorsomedial hypothalamus,I
night6,29,DMH,DMH,dorsomedial hypothalamus,E
night6,30,DMH,DMH,dorsomedial hypothalamus,I
night6,31,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,32,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night6,33,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night6,34,PVH,PVH,paraventricular hypothalamus,I
night6,35,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,36,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,37,DMH,DMH,dorsomedial hypothalamus,I
night6,38,DMH,DMH,dorsomedial hypothalamus,E
night6,39,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,40,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,41,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,42,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night6,43,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night6,44,VM-thalamus,VM-thalamus,ventromedial thalamus,I
night6,45,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,46,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,47,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,48,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,49,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,50,VM-thalamus,VM-thalamus,ventromedial thalamus,E
night6,51,PVH,PVH,paraventricular hypothalamus,I
