animal,neuron_id,region6,region9,region_raw,allen_region,allen_acronym,AP_mm,ML_mm,DV_mm,ccf_ap_um,ccf_dv_um,ccf_ml_um,paxinos_region,ei,classifiable,pct_inh_animal
day1,59,VM-thalamus,VM-thalamus,ventromedial thalamus,Mediodorsal nucleus of thalamus,MD,-1.3,0.304396209,3.390713566,6700,4391,6004,Mediodorsal thalamic nucleus (MD),unclassified,False,1.6
day1,60,VM-thalamus,VM-thalamus,ventromedial thalamus,Mediodorsal nucleus of thalamus,MD,-1.3,0.304396209,3.390713566,6700,4391,6004,Mediodorsal thalamic nucleus (MD),unclassified,False,1.6
day1,61,VM-thalamus,VM-thalamus,ventromedial thalamus,Mediodorsal nucleus of thalamus,MD,-1.3,0.304396209,3.390713566,6700,4391,6004,Mediodorsal thalamic nucleus (MD),unclassified,False,1.6
day1,62,VM-thalamus,VM-thalamus,ventromedial thalamus,Mediodorsal nucleus of thalamus,MD,-1.3,0.304396209,3.390713566,6700,4391,6004,Mediodorsal thalamic nucleus (MD),unclassified,False,1.6
day1,63,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.192566783,4.024929759,6700,5025,5893,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,64,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.192566783,4.024929759,6700,5025,5893,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,65,VM-thalamus,VM-thalamus,ventromedial thalamus,Submedial nucleus of the thalamus,SMT,-1.3,0.208542415,3.934327446,6700,4934,5909,Submedial thalamic nucleus (Sub),unclassified,False,1.6
day1,66,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.3,0.284426669,3.503966457,6700,4504,5984,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,67,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.3,0.292414485,3.458665301,6700,4459,5992,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,68,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.3,0.292414485,3.458665301,6700,4459,5992,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,69,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.3,0.300402301,3.413364144,6700,4413,6000,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,70,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.3,0.300402301,3.413364144,6700,4413,6000,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,71,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.3,0.300402301,3.413364144,6700,4413,6000,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,72,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.3,0.300402301,3.413364144,6700,4413,6000,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,73,VM-thalamus,VM-thalamus,ventromedial thalamus,Mediodorsal nucleus of thalamus,MD,-1.3,0.308390118,3.368062988,6700,4368,6008,Mediodorsal thalamic nucleus (MD),unclassified,False,1.6
day1,74,VM-thalamus,VM-thalamus,ventromedial thalamus,Mediodorsal nucleus of thalamus,MD,-1.3,0.308390118,3.368062988,6700,4368,6008,Mediodorsal thalamic nucleus (MD),unclassified,False,1.6
