animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei
day4,22,0.14166666666666677,0.25,True,4.0,I
day4,23,0.5125000000000001,0.85,True,1.0,E
day4,24,0.3125,0.6,True,0.0,E
day4,25,,,False,,unclassified
day4,26,0.55,0.8,True,1.0,E
day4,27,0.21666666666666679,0.85,True,3.0,E
day4,28,0.35,0.45,True,0.0,E
day4,29,0.4,0.85,True,1.0,E
day4,30,0.23076923076923064,1.1,True,3.0,E
day4,31,0.1770833333333332,0.6,True,0.0,E
day4,32,0.15333333333333315,0.95,True,3.0,E
day4,33,0.1918181818181818,0.55,True,0.0,E
day4,34,0.2462962962962962,0.5,True,0.0,E
day4,35,0.26439393939393946,0.55,True,0.0,E
day4,36,0.4532967032967033,0.75,True,1.0,E
day4,37,0.16830357142857152,0.6,True,0.0,E
day4,38,0.3255639097744364,0.55,True,0.0,E
day4,39,0.30921160130718944,0.6,True,0.0,E
day4,40,0.25226851851851856,0.45,True,0.0,E
day4,41,0.24509677419354822,0.45,True,0.0,E
day4,42,0.23645833333333321,0.4,True,0.0,E
day4,43,0.28584229390681026,0.4,True,0.0,E
day4,44,0.9333333333333332,0.5,True,2.0,E
day4,45,0.252840909090909,0.8,True,3.0,E
day4,46,0.41000000000000014,1.0,True,1.0,E
day4,47,0.17142857142857154,0.45,True,0.0,E
day4,48,0.15899767801857578,0.35,True,4.0,I
day4,49,0.24916007905138354,0.75,True,3.0,E
day4,50,0.23883928571428578,0.7,True,3.0,E
day4,51,0.3199999999999999,1.45,True,5.0,E
day4,52,0.4870879120879121,0.95,True,1.0,E
day4,53,0.2604166666666668,0.7,True,3.0,E
day4,54,0.3284722222222221,0.95,True,3.0,E
day4,55,0.2345238095238095,0.5,True,0.0,E
day4,56,0.25681818181818167,0.6,True,0.0,E
day4,57,0.36457219251336886,0.4,True,0.0,E
day4,58,0.2060224089635856,0.5,True,0.0,E
day4,59,0.12380952380952408,0.25,True,4.0,I
day4,60,0.55,0.85,True,1.0,E
day4,61,0.3604166666666668,0.55,True,0.0,E
