"metric","estimator","model_level","term","estimate","std_error","df","t_value","p_value"
"local_efficiency","glmcc_raw","interaction","regionDMH",0.20797813457762,0.236682417070899,1310.07646446278,0.878722370472157,0.37971296131719
"local_efficiency","glmcc_raw","interaction","regionMC",0.135183791218792,0.253674519186855,1311.21786919727,0.532902522697664,0.59419136005049
"local_efficiency","glmcc_raw","interaction","regionPH",0.202276411630569,0.242833852554566,1311.0739960987,0.832982755504062,0.405006168530303
"local_efficiency","glmcc_raw","interaction","regionPVH",-0.301821808024706,0.238388508672859,1309.07772587293,-1.26609210194312,0.205705367409082
"local_efficiency","glmcc_raw","interaction","regionVM-thalamus",-0.563110115715992,0.229912537201567,1308.59920360294,-2.44923622943757,0.0144463367593742
"local_efficiency","glmcc_raw","interaction","regionVMH",0.186986494340761,0.257295956300028,1305.14073834946,0.726737011454311,0.467517396912114
"local_efficiency","glmcc_raw","interaction","regionZI",0.980152843031074,0.330342290810242,1307.56239030005,2.96708253922626,0.00306104238528094
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionARH",-1.59676829830295,0.470914276941796,1303.03479245673,-3.39078336862636,0.000717794449914106
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionDMH",0.0130633062422865,0.40489727541747,1303.66790644157,0.0322632604252956,0.974267046493351
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionMC",0.091456993907982,0.41720676262871,1303.78010123966,0.219212635317164,0.826518725367193
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionPH",0.01537220022876,0.40826580555825,1303.9295945334,0.0376524313804348,0.969970566815035
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionPVH",1.06824808509821,0.409825325886976,1303.53020256099,2.60659363299773,0.00924907898321878
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionVM-thalamus",1.50289086570064,0.399655340060444,1303.51943409721,3.76046737039305,0.000177110122023346
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionVMH",-0.0646389473235035,0.440975746054995,1301.66128544817,-0.146581638336731,0.883484945524483
"local_efficiency","glmcc_raw","interaction","conditionlightON:regionZI",-1.49787238982687,0.510909530919357,1302.6121783027,-2.93177617401562,0.00342914520134184
"local_efficiency","glmcc_raw","interaction","ANOVA_condition",6215.8541682999,NA,1,NA,0
"local_efficiency","glmcc_raw","interaction","ANOVA_region",0.452555440026687,NA,8,NA,0.889377943388992
"local_efficiency","glmcc_raw","interaction","ANOVA_condition:region",52.1025682893738,NA,8,NA,2.05386388715679e-73
"hub_score","glmcc_raw","interaction","(Intercept)",0.428990727743517,0.0921423700575119,387.427403209962,4.6557379354987,4.4415814248343e-06
"hub_score","glmcc_raw","interaction","conditionlightON",-0.0166861793776949,0.15357022887916,1311.35805090606,-0.108655040104321,0.913492726102114
"hub_score","glmcc_raw","interaction","regionARH",-0.0714180589913365,0.114885812753903,1297.01639054454,-0.62164385035358,0.534285326173622
"hub_score","glmcc_raw","interaction","regionDMH",0.0076546165249704,0.0913618050721679,1287.20050836641,0.0837835517689686,0.93324155340383
"hub_score","glmcc_raw","interaction","regionMC",-0.00298549033453985,0.0977019526488234,1262.87700166071,-0.030557120442319,0.975627567359776
"hub_score","glmcc_raw","interaction","regionPH",-0.01934251614715,0.0935613604501602,1267.71324723546,-0.206736157470195,0.836249116885027
"hub_score","glmcc_raw","interaction","regionPVH",-0.0544146331192282,0.0921521549281764,1298.58448717684,-0.590486822165354,0.554967062083415
