"metric","estimator","model_level","term","estimate","std_error","df","t_value","p_value"
"local_efficiency","glmcc","interaction","regionVMH",0.103163876224013,0.242905089484087,1022.97510167251,0.424708582447265,0.671138435871893
"local_efficiency","glmcc","interaction","regionZI",-0.0520097595167583,0.276651031781765,1031.93804974263,-0.187997706647941,0.850915409184744
"local_efficiency","glmcc","interaction","conditionlightON:regionDMH",-0.76410688872944,0.271818330263131,1026.32266654543,-2.81109404207492,0.00503130645696721
"local_efficiency","glmcc","interaction","conditionlightON:regionPH",-1.0243525547034,0.322036729837473,1029.56801463797,-3.18085628064965,0.00151229890826547
"local_efficiency","glmcc","interaction","conditionlightON:regionPVH",-0.89293973929035,0.265738343092974,1022.25755134349,-3.36022167105158,0.000807592094211769
"local_efficiency","glmcc","interaction","conditionlightON:regionVM-thalamus",0.127005755563465,0.251144811184582,1020.29064373987,0.505707264921831,0.613171400915256
"local_efficiency","glmcc","interaction","conditionlightON:regionVMH",-0.144633485598481,0.319607176988962,1024.50102143775,-0.452535161948118,0.650979303650453
"local_efficiency","glmcc","interaction","ANOVA_condition",839.868857869341,NA,1,NA,4.88765224423936e-109
"local_efficiency","glmcc","interaction","ANOVA_region",0.751236750842933,NA,8,NA,0.646128769717829
"local_efficiency","glmcc","interaction","ANOVA_condition:region",22.6251563418294,NA,5,NA,9.50112895625438e-21
"hub_score","glmcc","interaction","(Intercept)",0.24175176911863,0.0903249063248637,158.055723031674,2.67646852850467,0.00822485531171261
"hub_score","glmcc","interaction","conditionlightON",0.0155885626259541,0.106109764355466,1019.81432109114,0.146909784605051,0.883232265103867
"hub_score","glmcc","interaction","regionARH",-0.096346430643723,0.10760618374367,1031.69033846786,-0.895361468010341,0.370802737840684
"hub_score","glmcc","interaction","regionDMH",0.0278944370116803,0.0884909050956972,1025.72706018428,0.315223773352914,0.752655873784799
"hub_score","glmcc","interaction","regionMC",-0.0128759933240766,0.0919133907935324,1025.98179588595,-0.140088328946543,0.888617697688328
"hub_score","glmcc","interaction","regionPH",0.107322652131946,0.117178050823549,1030.86478494616,0.915893816100053,0.359936789434562
"hub_score","glmcc","interaction","regionPVH",-0.0118664072657129,0.0851853843158959,1026.2267994148,-0.139300977051512,0.889239649755963
"hub_score","glmcc","interaction","regionVM-thalamus",-0.0420020469475211,0.0806986094597053,1026.18119336962,-0.520480429944629,0.602841038615775
"hub_score","glmcc","interaction","regionVMH",-0.187179804434705,0.1052605595615,1022.01078870853,-1.77825203679772,0.0756597087199168
"hub_score","glmcc","interaction","regionZI",-0.0499262837853856,0.120042529501737,1031.65714108434,-0.415904962954509,0.677566045734482
"hub_score","glmcc","interaction","conditionlightON:regionDMH",-0.0632096712843606,0.117820217236399,1024.95854910702,-0.536492571198832,0.591734588316283
"hub_score","glmcc","interaction","conditionlightON:regionPH",-0.113185001769717,0.139633683394437,1027.92849753911,-0.810585232862415,0.417791522529319
"hub_score","glmcc","interaction","conditionlightON:regionPVH",-0.0611889194951926,0.115149895429358,1021.48085343035,-0.531384933238871,0.595267588522687
"hub_score","glmcc","interaction","conditionlightON:regionVM-thalamus",0.0758501962295655,0.108812695743943,1019.85899793953,0.697071198456982,0.485917097781369
"hub_score","glmcc","interaction","conditionlightON:regionVMH",0.192096914709348,0.138514191679783,1023.3722515879,1.38683922838346,0.165792788246763
"hub_score","glmcc","interaction","ANOVA_condition",0.427797055681194,NA,1,NA,0.513374273690542
"hub_score","glmcc","interaction","ANOVA_region",1.07462964404358,NA,8,NA,0.378672582391974
"hub_score","glmcc","interaction","ANOVA_condition:region",3.35981875201149,NA,5,NA,0.00532212900992418
