animal,condition,neuron_id,region,node_strength,clustering_coefficient,local_efficiency,hub_score,z_score,ei,spikes
day3,lightON,16,PH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,120
day3,lightON,17,PH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,443
day3,lightON,18,MC,-2.405409,0.666666666666667,0.312243538670693,0.0176653546266098,-0.230233154419384,E,1773
day3,lightON,19,MC,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,383
day3,lightON,20,MC,-4.380031,0.6,0.471286897550931,-0.177785294302731,-0.989265788054071,I,2528
day3,lightON,21,MC,-2.70246,0.333333333333333,0.118990666666667,-0.0118784659079912,-0.344417744104811,E,1136
day3,lightON,22,PVH,-2.759303,0.666666666666667,0.296065401857314,0.0286215657867742,-0.366267846045181,E,2272
day3,lightON,23,PH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,E,20
day3,lightON,24,PVH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,E,620
day3,lightON,25,PVH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,443
day3,lightON,26,ARH,-4.963121,0.321428571428571,0.362937588985356,0.0456727319622428,-1.21340202189835,I,6185
day3,lightON,27,ARH,-1.243542,0.5,0.298915105931885,0.0126522795930145,0.216381422417719,E,3428
day3,lightON,28,ARH,0.0,0.0,0.0,-5.74578485781261e-18,0.694391370293994,I,1
day3,lightON,29,PVH,-1.315391,1.0,0.428831,0.0075470497096635,0.188763105750519,I,3640
day3,lightON,30,MC,-14.791819,0.121212121212121,0.279691094165941,-0.0981122965020918,-4.99149348858917,I,23525
day3,lightON,31,PH,-3.09052,0.5,0.392781200927547,0.0126588166867957,-0.493585637407062,E,3538
day3,lightON,32,DMH,-3.150313,0.666666666666667,0.319259100447437,0.0220993661637261,-0.516569701325583,E,1424
day3,lightON,33,DMH,-2.720085,0.333333333333333,0.134631,0.0247826386413915,-0.351192686431905,I,2909
