animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei,ei_old,classifiable
day5,7,0.2271590909090909,0.3,True,3.0,E,I,True
day5,8,0.4050000000000001,0.65,True,5.0,E,E,True
day5,9,0.251011904761905,0.45,True,2.0,E,I,True
day5,10,0.4166666666666668,0.7,True,5.0,E,E,True
day5,11,0.31875,0.55,True,2.0,E,I,True
day5,12,0.2994047619047617,0.5,True,2.0,E,I,True
day5,13,0.1669642857142858,0.25,True,3.0,E,I,True
day5,14,0.3545454545454546,0.65,True,5.0,E,E,True
day5,15,0.1919941471571906,0.5,True,3.0,E,I,True
day5,16,0.2904017857142857,0.55,True,2.0,E,I,True
day5,17,0.1941647597254004,0.35,True,3.0,E,I,True
day5,18,0.2453817733990146,0.5,True,2.0,E,I,True
day5,19,0.2808333333333333,0.55,True,2.0,E,I,True
day5,20,0.2820512820512821,0.5,True,2.0,E,I,True
day5,21,0.346875,0.7,True,5.0,E,E,True
day5,22,0.2,0.35,True,3.0,E,E,True
day5,23,0.2782051282051284,0.65,True,2.0,E,E,True
day5,24,0.2971861471861469,0.55,True,2.0,E,E,True
day5,25,0.2944711538461537,0.55,True,2.0,E,E,True
day5,26,0.095673076923077,0.3,True,0.0,I,E,True
day5,27,0.2183333333333333,0.95,True,1.0,E,E,True
day5,28,0.0941768292682926,0.2,True,0.0,I,I,True
day5,29,0.35,0.45,True,5.0,E,I,True
day5,30,0.1205798621516333,0.35,True,0.0,I,I,True
day5,31,0.1264922529845058,0.35,True,0.0,I,I,True
day5,32,0.3375,1.15,True,1.0,E,E,True
day5,33,0.2092838196286472,0.7,True,2.0,E,E,True
day5,34,0.45,0.7,True,5.0,E,E,True
day5,35,0.2605846774193547,0.8,True,2.0,E,E,True
day5,36,0.3,0.8,True,1.0,E,E,True
day5,37,0.2829670329670332,0.7,True,2.0,E,E,True
day5,38,0.2952380952380952,0.95,True,1.0,E,E,True
day5,39,0.1716864263691086,0.45,True,3.0,E,E,True
day5,40,0.2666666666666668,0.7,True,2.0,E,E,True
day5,41,0.1625,0.35,True,3.0,E,I,True
day5,42,0.1529166666666668,0.3,True,3.0,E,I,True
day5,43,0.1765550239234446,0.55,True,3.0,E,E,True
day5,44,0.3399999999999998,0.8,True,1.0,E,E,True
day5,45,0.2875,0.55,True,2.0,E,E,True
day5,46,0.25,0.5,True,2.0,E,E,True
day5,47,0.05,0.05,True,0.0,I,E,True
day5,48,0.4,0.4,True,5.0,E,E,True
day5,49,0.3045833333333331,0.45,True,2.0,E,I,True
day5,50,0.3041208791208792,0.65,True,2.0,E,E,True
day5,51,0.1729946524064168,0.4,True,3.0,E,I,True
day5,52,0.1578571428571425,0.35,True,3.0,E,I,True
day5,53,0.2362637362637361,0.5,True,2.0,E,I,True
day5,54,0.4625,1.0,True,1.0,E,E,True
day5,55,0.35,0.85,True,1.0,E,E,True
day5,56,0.3321428571428573,0.95,True,1.0,E,E,True
day5,57,0.2339999999999999,0.95,True,1.0,E,E,True
day5,58,0.3625,0.75,True,5.0,E,E,True
day5,59,0.1758333333333332,0.45,True,3.0,E,I,True
day5,60,0.3708333333333332,1.05,True,1.0,E,E,True
day5,61,0.2875,0.55,True,2.0,E,E,True
day5,62,0.1294642857142857,0.25,True,0.0,I,I,True
day5,63,0.3869047619047617,0.6,True,5.0,E,E,True
day5,64,0.1933333333333333,0.35,True,3.0,E,I,True
day5,65,0.2016774891774893,0.35,True,3.0,E,E,True
day5,66,0.4087499999999999,1.8,True,4.0,E,E,True
day5,67,0.2631818181818183,0.5,True,2.0,E,E,True
day5,68,0.1866319444444442,0.4,True,3.0,E,I,True
day5,69,0.1348214285714284,0.25,True,0.0,I,I,True
day5,70,0.3024999999999999,0.6,True,2.0,E,I,True
day5,71,0.0666666666666667,0.05,True,0.0,I,I,True
day6,1,0.1625,0.3,True,1.0,I,I,True
day6,2,0.1346774193548388,0.25,True,1.0,I,I,True
day6,3,0.1695501422475104,0.35,True,1.0,I,I,True
day6,4,0.0654588336192109,0.2,True,1.0,I,I,True
day6,5,0.3127403846153843,0.95,True,2.0,E,E,True
day6,6,0.2770833333333332,0.45,True,2.0,E,E,True
day6,7,0.3611111111111111,0.85,True,2.0,E,E,True
day6,8,0.1363636363636363,0.25,True,1.0,I,I,True
day6,9,0.2767857142857142,0.8,True,2.0,E,E,True
day6,10,0.1819444444444443,0.45,True,1.0,I,E,True
day6,11,0.3010416666666668,0.6,True,2.0,E,E,True
day6,12,0.1385770975056686,0.3,True,1.0,I,I,True
day6,13,0.2,0.2,True,1.0,I,E,True
day6,14,0.1649999999999998,0.3,True,1.0,I,I,True
day6,15,0.5285714285714285,0.85,True,0.0,E,E,True
day6,16,0.1744307170542633,0.4,True,1.0,I,I,True
day6,17,0.5072916666666667,1.1,True,0.0,E,E,True
day6,18,0.325,0.6,True,2.0,E,E,True
day6,19,0.0885731456043956,0.15,True,1.0,I,I,True
day6,20,0.1998660714285716,0.5,True,1.0,I,E,True
day6,21,0.4767857142857142,1.1,True,0.0,E,E,True
day6,22,0.4312499999999999,1.35,True,0.0,E,E,True
day6,23,0.2263541666666665,0.6,True,2.0,E,E,True
day6,24,0.1719230769230769,0.8,True,2.0,E,E,True
day6,25,0.3277777777777775,0.6,True,2.0,E,E,True
day6,26,0.171875,0.3,True,1.0,I,I,True
day6,27,0.0783441208198489,0.3,True,1.0,I,I,True
day6,28,0.375,0.55,True,2.0,E,E,True
day6,29,0.2465909090909089,0.5,True,2.0,E,I,True
day6,30,0.2122535842293906,0.35,True,1.0,I,E,True
day6,31,0.1029166666666665,0.15,True,1.0,I,I,True
day6,32,0.2130208333333332,0.55,True,2.0,E,I,True
day6,33,0.2666940789473685,0.9,True,2.0,E,E,True
day6,34,0.4416666666666667,0.8,True,0.0,E,E,True
day6,35,0.1815909090909091,0.35,True,1.0,I,I,True
day6,36,0.2039848197343456,0.55,True,2.0,E,E,True
day6,37,0.1757051282051282,0.7,True,2.0,E,E,True
day6,38,0.1917420814479637,0.4,True,1.0,I,I,True
day6,39,,,False,,unclassified,E,True
day6,40,0.4074999999999999,1.75,True,0.0,E,I,True
day6,41,0.2216666666666668,0.35,True,1.0,I,I,True
day6,42,0.1305335365853658,0.25,True,1.0,I,E,True
day6,43,0.45,1.25,True,0.0,E,E,True
day6,44,0.2962499999999998,0.85,True,2.0,E,E,True
day6,45,0.2748188405797101,0.8,True,2.0,E,I,True
day6,46,0.1511961722488038,0.3,True,1.0,I,E,True
day6,47,0.2461111111111112,0.8,True,2.0,E,I,True
day6,48,0.2083333333333332,0.4,True,1.0,I,I,True
day6,49,0.1330729166666668,0.3,True,1.0,I,I,True
day6,50,0.1657852564102565,0.45,True,1.0,I,I,True
day6,51,0.2013888888888889,0.4,True,1.0,I,I,True
day6,52,0.1762499999999999,0.3,True,1.0,I,I,True
day6,53,0.1315000000000001,0.2,True,1.0,I,E,True
day6,54,,,False,,unclassified,I,True
day6,55,0.2410256410256408,0.55,True,2.0,E,E,True
day6,56,0.1335317460317458,0.3,True,1.0,I,E,True
night1,1,0.287777777777778,0.75,True,0.0,E,unclassified,False
night1,2,0.4015151515151515,0.8,True,0.0,E,unclassified,False
night1,3,0.2770833333333332,1.0,True,2.0,E,unclassified,False
night1,4,0.1791958041958043,0.6,True,1.0,I,unclassified,False
night1,5,0.2157894736842106,0.75,True,4.0,E,unclassified,False
night1,6,0.267763157894737,0.7,True,4.0,E,unclassified,False
night1,7,0.1972916666666666,0.7,True,4.0,E,unclassified,False
night1,8,0.1795723684210528,0.35,True,1.0,I,unclassified,False
night1,9,0.1921380090497734,0.35,True,1.0,I,unclassified,False
night1,10,0.35,0.7,True,0.0,E,unclassified,False
night1,11,0.1856630824372761,0.6,True,1.0,I,unclassified,False
night1,12,0.3384191176470587,0.75,True,0.0,E,unclassified,False
night1,13,0.2912955465587042,0.55,True,1.0,I,unclassified,False
night1,14,0.2931174089068825,0.7,True,0.0,E,unclassified,False
night1,15,0.2474264705882351,0.55,True,1.0,I,unclassified,False
night1,16,0.2631944444444443,0.55,True,1.0,I,unclassified,False
night1,17,0.3227272727272726,0.7,True,0.0,E,unclassified,False
night1,18,0.3733333333333331,0.65,True,0.0,E,unclassified,False
night1,19,0.475,0.9,True,3.0,E,unclassified,False
night1,20,0.4583333333333332,1.25,True,3.0,E,unclassified,False
night1,21,0.2461309523809525,0.75,True,4.0,E,unclassified,False
night1,22,0.2105263157894736,0.8,True,4.0,E,unclassified,False
night1,23,0.2372759856630825,1.0,True,2.0,E,unclassified,False
night1,24,0.2330357142857142,0.55,True,1.0,I,unclassified,False
night1,25,0.2189338235294116,0.8,True,4.0,E,unclassified,False
night1,26,0.3145833333333332,0.6,True,0.0,E,unclassified,False
night1,27,0.3745454545454546,0.8,True,0.0,E,unclassified,False
night1,28,0.2015915119363395,1.05,True,2.0,E,unclassified,False
night1,29,0.2712500000000002,0.75,True,4.0,E,unclassified,False
night1,30,0.2063940092165896,1.0,True,2.0,E,unclassified,False
night1,31,0.3,0.7,True,0.0,E,unclassified,False
night2,1,0.1849469496021218,0.8,True,3.0,E,unclassified,False
night2,2,0.2800000000000001,0.65,True,1.0,I,unclassified,False
night2,3,0.2891666666666669,0.65,True,1.0,I,unclassified,False
night2,4,0.1826245210727968,0.85,True,3.0,E,unclassified,False
night2,5,0.3338541666666668,0.8,True,4.0,E,unclassified,False
night2,6,0.2444444444444442,0.9,True,3.0,E,unclassified,False
night2,7,0.2371527777777778,0.9,True,3.0,E,unclassified,False
night2,8,0.2652406417112296,0.55,True,1.0,I,unclassified,False
night2,9,0.2844155844155847,0.7,True,1.0,I,unclassified,False
night2,10,0.3625,0.8,True,4.0,E,unclassified,False
night2,11,0.3661858974358974,0.8,True,4.0,E,unclassified,False
night2,12,0.1963488843813386,0.55,True,1.0,I,unclassified,False
night2,13,0.31875,0.75,True,4.0,E,unclassified,False
night2,14,0.5273809523809526,0.95,True,2.0,E,unclassified,False
night2,15,0.3261904761904759,0.9,True,4.0,E,unclassified,False
night2,16,0.365340909090909,0.85,True,4.0,E,unclassified,False
night2,17,0.2557416267942585,0.55,True,1.0,I,unclassified,False
night2,18,0.2169107142857143,0.8,True,3.0,E,unclassified,False
night2,19,0.298333333333333,0.9,True,4.0,E,unclassified,False
night2,20,0.248324074074074,0.6,True,1.0,I,unclassified,False
night2,21,0.2657467532467532,0.6,True,1.0,I,unclassified,False
night2,22,0.3596801346801346,0.8,True,4.0,E,unclassified,False
night2,23,0.2970238095238094,1.2,True,0.0,E,unclassified,False
night2,24,0.2580610021786491,0.5,True,1.0,I,unclassified,False
night2,25,0.2699999999999999,0.9,True,3.0,E,unclassified,False
night2,26,0.2620383522727273,0.7,True,1.0,I,unclassified,False
night2,27,0.3141666666666669,0.65,True,1.0,I,unclassified,False
night2,28,0.303125,0.65,True,1.0,I,unclassified,False
night2,29,0.3015625,0.8,True,4.0,E,unclassified,False
night2,30,0.4400000000000002,0.9,True,2.0,E,unclassified,False
night2,31,0.5125000000000001,1.15,True,2.0,E,unclassified,False
night2,32,0.2964705882352941,0.9,True,4.0,E,unclassified,False
night2,33,0.35,0.8,True,4.0,E,unclassified,False
night2,34,0.3433333333333333,0.8,True,4.0,E,unclassified,False
night3,1,0.3777777777777779,1.1,True,2.0,E,unclassified,False
