"animal","day_night","neuron_id","region","strength","betweenness","eigenvector","pagerank"
"night1","N",25,"VM-thalamus",14.42136,26,0.0852009592561829,0.0202102822025844
"night1","N",26,"VM-thalamus",138.9238,107,0.840237962348718,0.0881616633700367
"night1","N",27,"VM-thalamus",25.78481,0,0.112595278643116,0.0190637287815447
"night1","N",28,"VM-thalamus",47.054255,0,0.36726198482742,0.0353596669369363
"night1","N",29,"PVH",31.161777,1,0.140304055561764,0.0280560061865773
"night1","N",30,"PVH",19.3908,0,0.0474971139577493,0.0185903086201648
"night1","N",31,"VM-thalamus",72.594561,62,0.576295658966467,0.0416274309741231
"night3","N",1,"PVH",122.583908,0,0.348423621070026,0.018869959667629
"night3","N",2,"PVH",297.419366,0,0.829289795183715,0.0348352054694081
"night3","N",3,"PVH",292.602075,28,0.828706421814163,0.0374900083883575
"night3","N",4,"PVH",331.907209,46,0.899755043342839,0.044123499739493
"night3","N",5,"PVH",299.721541,0,0.845059861036623,0.0365531697312365
"night3","N",6,"PVH",313.602656,1,0.884845695915569,0.0385850481530369
"night3","N",7,"PVH",343.661171,35,0.957822568470231,0.0412107107813375
"night3","N",8,"PVH",240.953038,0,0.703259205843137,0.0268596731116743
"night3","N",9,"PVH",244.14167,7,0.724312700702442,0.024997559793926
"night3","N",10,"PVH",300.037583,3,0.834333160364312,0.0366105443049137
"night3","N",11,"VM-thalamus",162.639316,0,0.473954794055111,0.0234053970697884
"night3","N",12,"VM-thalamus",317.395555,3,0.893169282437134,0.0373604174279533
"night3","N",13,"VM-thalamus",262.685371,23,0.751087008639974,0.0334004115817481
"night3","N",14,"PVH",319.135614,8,0.912550479921431,0.0351940921670153
"night3","N",15,"PVH",334.296472,31,0.928840893497619,0.0432037775147696
"night3","N",16,"PVH",323.333295,32,0.89256111694177,0.0362398056871032
"night3","N",17,"PVH",277.624533,0,0.796976174686602,0.0275916024980192
"night3","N",18,"PVH",352.320114,68,1,0.0388889093785819
"night3","N",19,"PVH",208.923749,0,0.610659387304764,0.0241805037701207
"night3","N",20,"VM-thalamus",162.550667,0,0.46190788592288,0.0174814084853403
"night3","N",21,"VM-thalamus",312.920907,26,0.874667968184207,0.0328789204338913
"night3","N",22,"VM-thalamus",267.003325,0,0.760807858758199,0.032652669636711
"night3","N",23,"VM-thalamus",81.349937,0,0.229219082311091,0.0172521690564715
"night3","N",24,"VM-thalamus",23.818262,0,0.0683009069801052,0.00854759171909726
"night3","N",25,"VM-thalamus",18.534521,0,0.0505503628080662,0.00655051015206526
"night3","N",26,"VM-thalamus",200.574767,0,0.563243154586278,0.0207942968619115
"night3","N",27,"VM-thalamus",115.788934,0,0.329949715885745,0.0129556905631875
"night3","N",28,"PVH",334.834054,1,0.931516728328065,0.0402663302808632
"night3","N",29,"VM-thalamus",142.604596,0,0.418122038144325,0.0249308305243181
"night3","N",30,"VM-thalamus",308.742839,14,0.87143438024646,0.0344023906878309
"night3","N",31,"VM-thalamus",322.223156,1,0.882944391400642,0.0410828187217061
"night3","N",32,"VM-thalamus",280.005792,0,0.809818935419701,0.0346252655511705
"night3","N",33,"PVH",243.979807,0,0.718255174995428,0.0359788110893236
"night4","N",1,"VM-thalamus",68.61318,0,0.314324273074837,0.0121562536059811
"night4","N",2,"VM-thalamus",117.676089,0,0.514552370705797,0.0200283270129513
"night4","N",3,"PVH",66.801512,0,0.253812489543969,0.0148429801485184
"night4","N",4,"PVH",98.416657,0,0.43851096877846,0.0276195886654478
"night4","N",5,"PVH",56.415755,0,0.20314072154402,0.00968471464775151
"night4","N",6,"PVH",43.097987,0,0.120125847109676,0.0129489445316208
"night4","N",7,"PVH",48.836884,0,0.157984781147284,0.0139900342754666
"night4","N",8,"AH",56.031699,0,0.190979772879722,0.0115760150131032
"night4","N",9,"PVH",47.823094,0,0.14886153034907,0.0132231637898264
"night4","N",10,"PVH",345.812805,425,1,0.103564738966334
"night4","N",11,"VM-thalamus",59.164307,0,0.20964912100465,0.0102274656764026
"night4","N",12,"DMH",114.732512,0,0.492017152409188,0.0374006393395727
"night4","N",13,"DMH",122.816415,0,0.528736704718071,0.0348807618684283
"night4","N",14,"DMH",106.456484,0,0.496749988042891,0.0350926605611982
"night4","N",15,"DMH",255.447698,87,0.84487112631264,0.0665715808876131
"night4","N",16,"DMH",0,0,8.98021205857874e-21,0.00439238653001464
"night4","N",17,"DMH",256.423261,37,0.84213260073776,0.068036367552038
"night4","N",18,"VM-thalamus",101.29087,29,0.395063175522638,0.0223948982211645
"night4","N",19,"PVH",158.26142,31,0.610686571064335,0.0420743151075058
"night4","N",20,"VM-thalamus",268.646446,55,0.874163729563057,0.0802896254950764
"night4","N",21,"VM-thalamus",235.850556,179,0.763364234448467,0.0548999122509104
"night4","N",22,"PVH",104.718097,11,0.493765695619512,0.025283614745043
"night4","N",23,"VM-thalamus",72.579673,10,0.289807999290629,0.0219603332446875
"night4","N",24,"PVH",49.69551,0,0.202475083746375,0.00759804647743425
"night4","N",25,"PVH",45.96388,0,0.153631071181025,0.0111031628254702
"night4","N",26,"PVH",69.778714,0,0.299524279575995,0.0200682168416828
"night4","N",27,"PVH",58.54281,0,0.183137673446793,0.0123175359365261
"night4","N",28,"PVH",104.096889,0,0.424666878697782,0.0220415823032457
"night4","N",29,"PVH",75.79812,0,0.234055198506115,0.0143465697553947
"night4","N",30,"PVH",92.966699,0,0.387233420562442,0.0204463097714992
"night4","N",31,"PVH",61.514078,0,0.208227427531628,0.010986366668777
"night4","N",32,"PVH",243.926226,55,0.867063834511104,0.0664987954946662
"night4","N",33,"PVH",70.354665,0,0.289272877988276,0.0137356476687652
"night4","N",34,"PVH",77.081614,0,0.275404991540428,0.0192098798695583
"night4","N",35,"PVH",105.605174,29,0.436709226584162,0.0385085642503242
"night5","N",1,"VM-thalamus",167.893629,167,1,0.0649504707659925
"night5","N",2,"VM-thalamus",99.982958,1,0.671817272217155,0.0425208010024788
"night5","N",3,"VM-thalamus",132.950073,8,0.862235888603196,0.0527238141928583
"night5","N",4,"VM-thalamus",124.94238,2,0.806295191989555,0.0498412143831381
"night5","N",5,"VM-thalamus",95.385811,0,0.667796913716442,0.0399370710153438
"night5","N",6,"VM-thalamus",147.383063,5,0.942823289597986,0.058949770239993
"night5","N",7,"VM-thalamus",59.784145,0,0.387409259578858,0.0288819924100059
"night5","N",8,"VM-thalamus",87.964024,0,0.578492304725276,0.0367838657878755
"night5","N",9,"VM-thalamus",49.025538,0,0.317973348471774,0.0253311912190286
"night5","N",10,"VM-thalamus",96.285744,0,0.647611746809712,0.0417140487990185
"night5","N",11,"VM-thalamus",111.662542,4,0.730578651978203,0.0477519718150842
"night5","N",12,"VM-thalamus",74.225377,0,0.512360795306458,0.0328588006825143
"night5","N",13,"VM-thalamus",94.390027,39,0.598444047552628,0.0401930576801953
"night5","N",14,"PVH",68.709782,0,0.459785405067739,0.0300936581999087
"night5","N",15,"VM-thalamus",161.355179,88,0.987556377743534,0.0620301452723964
"night5","N",16,"VM-thalamus",150.290596,19,0.968590325657481,0.0558173871503968
"night5","N",17,"VM-thalamus",77.206157,0,0.513728021784727,0.034305288635902
"night5","N",18,"VM-thalamus",68.944832,0,0.455238108269971,0.0315403213758959
"night5","N",19,"VMH",106.437582,3,0.690225740109917,0.0448513761549729
"night5","N",20,"VMH",77.573135,0,0.510793209524806,0.0338517388553432
"night5","N",21,"VMH",78.255959,1,0.546339757686269,0.0340560934501669
"night5","N",22,"VM-thalamus",104.659452,16,0.682775571501619,0.0445261411532252
"night5","N",23,"VM-thalamus",95.41043,1,0.657154597828475,0.040454268841752
"night5","N",24,"VM-thalamus",57.334279,0,0.377089293577001,0.0260355109165132
"day2","D",1,"VM-thalamus",128.503808,0,0.500144575563387,0.0261588296274254
"day2","D",2,"VM-thalamus",72.917972,0,0.319893948675329,0.0233118426392903
"day2","D",3,"PH",93.868425,0,0.401177957518271,0.0238949756002736
"day2","D",4,"VM-thalamus",362.083964,211,1,0.0882956814655061
"day2","D",5,"VM-thalamus",375.481589,399,0.924987700605037,0.103623248305208
"day2","D",6,"VM-thalamus",95.703932,0,0.409825833383382,0.0273163445436784
"day2","D",7,"DMH",50.247122,0,0.188473822436099,0.0139896063146401
"day2","D",8,"DMH",126.116219,0,0.505301937271576,0.0316159428929506
"day2","D",9,"DMH",161.845529,0,0.600362551324032,0.0295122666278317
"day2","D",10,"DMH",149.539013,7,0.57569783044114,0.0233541053663639
"day2","D",11,"DMH",73.562204,0,0.296577543986112,0.015606463103908
"day2","D",12,"DMH",217.525315,10,0.769226211102561,0.0510482429447005
"day2","D",13,"PH",65.123072,0,0.241746886396981,0.0172081812898564
"day2","D",14,"VM-thalamus",227.645295,5,0.764962842972188,0.0434245153053007
"day2","D",15,"VM-thalamus",68.422475,0,0.282943474701891,0.0187808094448847
"day2","D",16,"VM-thalamus",169.707942,0,0.57940709130534,0.0319900962687231
"day2","D",17,"PVH",28.863661,0,0.102491686571579,0.0131910450570969
"day2","D",18,"PH",114.028922,0,0.456124732647349,0.0293579186039449
"day2","D",19,"PH",19.365337,0,0.0545485622563667,0.00891667805330509
"day2","D",20,"PH",57.263311,0,0.194561149577814,0.0206573548981257
"day2","D",21,"PH",133.151781,0,0.486074334964153,0.0360646494205174
"day2","D",22,"PH",140.159624,0,0.522533649753105,0.0291209792662781
"day2","D",23,"PH",41.197319,0,0.153668937465228,0.0128646938183615
"day2","D",24,"PH",86.502041,0,0.38184591155928,0.0221631078245887
"day2","D",25,"DMH",139.776497,0,0.549843418338174,0.0297779480884784
"day2","D",26,"VM-thalamus",18.638808,0,0.0462253137496554,0.00976566121680002
"day2","D",27,"PH",218.27405,9,0.757901387448767,0.0522453545726814
"day2","D",28,"DMH",74.999303,0,0.308142097097646,0.0205594421768988
"day2","D",29,"PH",80.75305,0,0.279992402151375,0.0248288757767032
"day2","D",30,"DMH",263.369964,2,0.79830566094829,0.0591746373829734
"day2","D",31,"DMH",281.224292,56,0.827620061830329,0.0621805021027044
"night6","N",1,"VM-thalamus",456.065844,1,0.800361214951633,0.030897882297582
"night6","N",2,"VM-thalamus",609.436425,146,1,0.0333153370752348
"night6","N",3,"VM-thalamus",137.559107,0,0.253645434604403,0.0122892272361693
"night6","N",4,"VM-thalamus",602.292466,657,0.903564736858612,0.036531806590035
"night6","N",5,"DMH",384.341658,0,0.737656482595264,0.0220520063037896
"night6","N",6,"DMH",442.650696,0,0.833676855160346,0.0256204183228369
"night6","N",7,"DMH",339.306606,0,0.661635138674913,0.0188233363858092
"night6","N",8,"DMH",385.726963,0,0.739635364388007,0.0227498491385124
"night6","N",9,"DMH",421.388157,8,0.799627958148971,0.0253596478004493
"night6","N",10,"DMH",436.66154,6,0.796254048598372,0.0255829042196759
"night6","N",11,"DMH",374.896739,0,0.728375044824884,0.0223639257449537
"night6","N",12,"VM-thalamus",144.619968,0,0.272474183236165,0.0127404803377588
"night6","N",13,"DMH",430.088715,2,0.798224201250169,0.024895569550909
"night6","N",14,"DMH",410.698286,0,0.766099749325748,0.0226734831835091
"night6","N",15,"DMH",391.552586,0,0.747956706793423,0.022170408346825
"night6","N",16,"DMH",341.632646,0,0.660889420127995,0.0187957293604205
"night6","N",17,"VM-thalamus",281.339938,5,0.549066542115334,0.0186131451554299
"night6","N",18,"VM-thalamus",105.61653,0,0.174225311329163,0.0085901194900802
"night6","N",19,"PVH",119.642119,0,0.25275525531515,0.00887417739584447
"night6","N",20,"PVH",168.034621,0,0.33031963422618,0.0125959566430672
"night6","N",21,"VM-thalamus",115.094982,0,0.222614318834869,0.00880721264390935
"night6","N",22,"VM-thalamus",446.063346,10,0.836676604628911,0.0262347964157674
"night6","N",23,"VMH",330.994583,0,0.64343404520188,0.0178965072646937
"night6","N",24,"VMH",304.207479,0,0.578456178719304,0.0215719632930282
"night6","N",25,"VMH",118.78841,0,0.224704908522231,0.00834128524427927
"night6","N",26,"VM-thalamus",518.598722,4,0.848584782468225,0.035075871983588
"night6","N",27,"DMH",330.366244,0,0.633345697860178,0.0207013119200828
"night6","N",28,"DMH",406.108429,0,0.783861619365484,0.0227713620946536
"night6","N",29,"DMH",442.04495,4,0.821857028951591,0.0257156187512492
"night6","N",30,"DMH",103.749341,0,0.206513809238049,0.0085536895767851
"night6","N",31,"VM-thalamus",149.034181,0,0.289685188464626,0.0142081855406068
"night6","N",32,"VM-thalamus",151.340222,0,0.287767926780304,0.0091875399573618
"night6","N",33,"VM-thalamus",153.304169,0,0.282277561325729,0.0146999668578877
"night6","N",34,"PVH",186.812199,0,0.386233903761038,0.0116444430631319
"night6","N",35,"VM-thalamus",644.878364,668,0.955568658527742,0.042463225621346
"night6","N",36,"VM-thalamus",536.293909,93,0.857647363882097,0.0334068942573647
"night6","N",37,"DMH",94.770169,0,0.162058297375135,0.00858105680383611
"night6","N",38,"DMH",52.923742,0,0.0931972951421692,0.00538448076012259
"night6","N",39,"VM-thalamus",325.402076,0,0.635918592712458,0.0190077421485752
"night6","N",40,"VM-thalamus",196.759319,0,0.374728132722666,0.0154677523736451
"night6","N",41,"VM-thalamus",214.668542,0,0.447110197328313,0.0132403989715406
"night6","N",42,"VM-thalamus",39.266492,0,0.0645634574253679,0.00577864313150868
"night6","N",43,"VM-thalamus",28.839166,0,0.0468070869928416,0.00412504064738021
"night6","N",44,"VM-thalamus",44.062915,0,0.0784658780270619,0.00407877964640395
"night6","N",45,"VM-thalamus",235.348707,0,0.471690949453737,0.0188380610284734
"night6","N",46,"VM-thalamus",256.020275,0,0.522137906234628,0.0150995624441531
"night6","N",47,"VM-thalamus",285.177469,3,0.573694909773016,0.0216268212563537
"night6","N",48,"VM-thalamus",632.76785,124,0.991971117861362,0.0435316292857087
"night6","N",49,"VM-thalamus",315.053714,0,0.618427757073934,0.0196511266512773
"night6","N",50,"VM-thalamus",0,0,0,0.00282220131702728
"night6","N",51,"PVH",336.028428,0,0.649755692588447,0.0157436103096373
"night6","N",52,"PVH",248.402946,0,0.507436258139131,0.0137229661485249
"night6","N",53,"PVH",104.532913,0,0.211640473400112,0.00884416996732476
"night6","N",54,"PVH",289.680903,0,0.58615500883684,0.0176406720438794
"night7","N",1,"VM-thalamus",162.340973,169,0.172691764497688,0.0113467219010413
"night7","N",2,"PH",394.38596,41,0.886308218138968,0.019190571463115
"night7","N",3,"DMH",450.749282,1246,0.940690298429048,0.0240948354019909
"night7","N",4,"VM-thalamus",326.086605,3,0.803325925478345,0.0185247984136205
"night7","N",5,"VM-thalamus",287.719806,11,0.687863069901326,0.0155271130253668
"night7","N",6,"VM-thalamus",145.171966,0,0.307322261822698,0.00933967144121026
"night7","N",7,"DMH",415.295769,51,0.95981490190889,0.0216777073030289
"night7","N",8,"DMH",362.344133,6,0.888912330746449,0.0192064858754252
"night7","N",9,"VMH",415.523078,48,1,0.021353268725779
"night7","N",10,"DMH",161.875479,0,0.38839073525936,0.0098692778910579
"night7","N",11,"PH",163.898128,0,0.386251414243833,0.00949506018572771
"night7","N",12,"PH",251.367182,0,0.581534624290507,0.0138601390686385
"night7","N",13,"PH",147.158754,0,0.345009018275898,0.00920683543754792
"night7","N",14,"PH",166.950649,0,0.393677278545662,0.00976006586141828
"night7","N",15,"PH",242.429954,0,0.610911625399786,0.0139802533657098
"night7","N",16,"PH",131.873185,0,0.301608507227364,0.00850227840620832
"night7","N",17,"PH",216.969851,0,0.540156968959147,0.0125841070083277
"night7","N",18,"PH",143.881462,0,0.339023548864181,0.00896940930620039
"night7","N",19,"DMH",215.804522,0,0.537793699886172,0.0123888668876793
"night7","N",20,"DMH",205.303367,0,0.495321363210358,0.0115156485336651
"night7","N",21,"PH",436.381807,114,0.973345827760205,0.0233999787431523
"night7","N",22,"PH",345.252256,4,0.853858803455984,0.0180097157567045
"night7","N",23,"PH",125.177741,0,0.240380808004639,0.0082713800647491
"night7","N",24,"VM-thalamus",139.284715,0,0.31853995048065,0.00867076056092451
"night7","N",25,"VM-thalamus",391.338545,466,0.814855360995697,0.0203429620905845
"night7","N",26,"PH",258.895504,132,0.669059087159313,0.0142103022277509
"night7","N",27,"DMH",250.687452,0,0.617835975873787,0.0132020677275191
"night7","N",28,"DMH",154.75569,0,0.370823281201928,0.00947153299423111
"night7","N",29,"DMH",150.707845,0,0.352356902552062,0.00922031607187181
"night7","N",30,"DMH",191.961322,30,0.461179401192548,0.0114259628359531
"night7","N",31,"DMH",379.991334,35,0.833464304485877,0.0208682975189834
"night7","N",32,"ARH",282.57069,0,0.697979576700382,0.015449174581645
"night7","N",33,"ARH",228.648794,0,0.565801932007961,0.0125605993498086
"night7","N",34,"ARH",365.21007,6,0.890718754586577,0.0194979338246368
"night7","N",35,"ARH",252.052069,0,0.608568696070907,0.0143977035255404
"night7","N",36,"ARH",228.66164,0,0.565669015815367,0.0128596437711702
"night7","N",37,"ARH",0,0,0,0.00191938579654511
"night7","N",38,"ARH",284.534595,651,0.730402676267888,0.0155909297342548
"night7","N",39,"ARH",495.909948,3165,0.784073042045566,0.0284007167538691
