"animal","day_night","k","n_nodes","phi_obs","phi_null_mean","phi_norm","p_value"
"day2","D",6,31,0.833333333333333,0.856666666666667,0.972762645914397,0.82
"day2","D",7,31,1,0.928333333333333,1.07719928186715,0.62
"day2","D",8,31,1,0.928333333333333,1.07719928186715,0.62
"day2","D",9,31,1,0.928333333333333,1.07719928186715,0.62
"day2","D",10,31,1,0.97,1.03092783505155,0.94
"day2","D",11,31,NA,NA,NA,NA
"day2","D",12,31,NA,NA,NA,NA
"day2","D",13,31,NA,NA,NA,NA
"day2","D",14,31,NA,NA,NA,NA
"day2","D",15,31,NA,NA,NA,NA
"day2","D",16,31,NA,NA,NA,NA
"day2","D",17,31,NA,NA,NA,NA
"day2","D",18,31,NA,NA,NA,NA
"night6","N",1,54,0.241758241758242,0.241923076923077,0.99931864637747,1
"night6","N",2,54,0.571428571428571,0.5725,0.99812850904554,1
"night6","N",3,54,0.69047619047619,0.692619047619048,0.996906153317291,1
"night6","N",4,54,0.69047619047619,0.692619047619048,0.996906153317291,1
"night6","N",5,54,0.8,0.818666666666667,0.977198697068404,1
"night6","N",6,54,0.8,0.818666666666667,0.977198697068404,1
"night6","N",7,54,0.9,0.906,0.993377483443709,0.82
"night6","N",8,54,0.9,0.906,0.993377483443709,0.82
"night6","N",9,54,0.9,0.906,0.993377483443709,0.82
"night6","N",10,54,0.9,0.906,0.993377483443709,0.82
"night6","N",11,54,1,0.968333333333333,1.03270223752151,0.81
"night6","N",12,54,1,0.968333333333333,1.03270223752151,0.81
"night6","N",13,54,1,0.968333333333333,1.03270223752151,0.81
"night6","N",14,54,1,0.968333333333333,1.03270223752151,0.81
"night6","N",15,54,1,0.97,1.03092783505155,0.94
"night6","N",16,54,NA,NA,NA,NA
"night6","N",17,54,NA,NA,NA,NA
"night6","N",18,54,NA,NA,NA,NA
"night6","N",19,54,NA,NA,NA,NA
"night6","N",20,54,NA,NA,NA,NA
"night6","N",21,54,NA,NA,NA,NA
"night6","N",22,54,NA,NA,NA,NA
"night6","N",23,54,NA,NA,NA,NA
"night7","N",1,79,0.266362252663623,0.266362252663623,1,1
"night7","N",2,79,0.305531167690957,0.305237050043898,1.00096357125394,0.1
"night7","N",3,79,0.323076923076923,0.322764568764569,1.00096774659483,0.1
"night7","N",4,79,0.332211538461538,0.331889423076923,1.00097055031652,0.1
"night7","N",5,79,0.341517857142857,0.341187996031746,1.00096680163121,0.1
"night7","N",6,79,0.35099846390169,0.350657962109575,1.00097103681909,0.1
"night7","N",7,79,0.381920903954802,0.381237288135593,1.00179315046163,0.03
"night7","N",8,79,0.381920903954802,0.381237288135593,1.00179315046163,0.03
"night7","N",9,79,0.427922077922078,0.426853896103896,1.00250245301245,0
"night7","N",10,79,0.453529000698812,0.452407407407407,1.00247916650577,0
"night7","N",11,79,0.481523378582202,0.480165912518854,1.00282707711638,0.01
"night7","N",12,79,0.496078431372549,0.494725490196078,1.00273473108478,0.01
"night7","N",13,79,0.527636054421769,0.525803571428571,1.00348510944537,0
"night7","N",14,79,0.543882978723404,0.54199024822695,1.00349218551929,0
"night7","N",15,79,0.56059204440333,0.558672525439408,1.00343585710146,0
"night7","N",16,79,0.56059204440333,0.558672525439408,1.00343585710146,0
"night7","N",17,79,0.56059204440333,0.558672525439408,1.00343585710146,0
"night7","N",18,79,0.614164904862579,0.61115221987315,1.00492951656145,0
"night7","N",19,79,0.614164904862579,0.61115221987315,1.00492951656145,0
"night7","N",20,79,0.614164904862579,0.61115221987315,1.00492951656145,0
"night7","N",21,79,0.614164904862579,0.61115221987315,1.00492951656145,0
"night7","N",22,79,0.614164904862579,0.61115221987315,1.00492951656145,0
"night7","N",23,79,0.631229235880399,0.627923588039867,1.00526441099442,0
"night7","N",24,79,0.631229235880399,0.627923588039867,1.00526441099442,0
"night7","N",25,79,0.664634146341463,0.661310975609756,1.00502512562814,0.01
"night7","N",26,79,0.684615384615385,0.680288461538462,1.00636042402827,0
"night7","N",27,79,0.703778677462888,0.69889338731444,1.00699003630185,0
"night7","N",28,79,0.72475106685633,0.719061166429588,1.00791295746785,0.01
"night7","N",29,79,0.766666666666667,0.759746031746032,1.00910914257062,0
"night7","N",30,79,0.766666666666667,0.759746031746032,1.00910914257062,0
"night7","N",31,79,0.766666666666667,0.759746031746032,1.00910914257062,0
"night7","N",32,79,0.766666666666667,0.759746031746032,1.00910914257062,0
"night7","N",33,79,0.785714285714286,0.778378151260504,1.00942489770801,0
"night7","N",34,79,0.806595365418895,0.798199643493761,1.0105183233212,0
"night7","N",35,79,0.806595365418895,0.798199643493761,1.0105183233212,0
"night7","N",36,79,0.806595365418895,0.798199643493761,1.0105183233212,0
"night7","N",37,79,0.806595365418895,0.798199643493761,1.0105183233212,0
"night7","N",38,79,0.823863636363636,0.81499053030303,1.01088737320335,0
"night7","N",39,79,0.823863636363636,0.81499053030303,1.01088737320335,0
"night7","N",40,79,0.823863636363636,0.81499053030303,1.01088737320335,0
"night7","N",41,79,0.823863636363636,0.81499053030303,1.01088737320335,0
"night7","N",42,79,0.854838709677419,0.844688172043011,1.01201690513774,0
"night7","N",43,79,0.868965517241379,0.858919540229885,1.01169606294998,0
"night7","N",44,79,0.868965517241379,0.858919540229885,1.01169606294998,0
"night7","N",45,79,0.894179894179894,0.883941798941799,1.01158231825936,0.03
"night7","N",46,79,0.894179894179894,0.883941798941799,1.01158231825936,0.03
"night7","N",47,79,0.917378917378917,0.904301994301994,1.01446079203554,0
"night7","N",48,79,0.930769230769231,0.917615384615385,1.01433481431805,0
"night7","N",49,79,0.972826086956522,0.954528985507246,1.01916872271778,0
"night7","N",50,79,0.972826086956522,0.954528985507246,1.01916872271778,0
"night7","N",51,79,0.972826086956522,0.954528985507246,1.01916872271778,0
"night7","N",52,79,0.980519480519481,0.96452380952381,1.01658400843787,0
"night7","N",53,79,0.983333333333333,0.968309523809524,1.01551550320883,0
"night7","N",54,79,0.992105263157895,0.977789473684211,1.0146409731941,0.01
"night7","N",55,79,0.992105263157895,0.977789473684211,1.0146409731941,0.01
"night7","N",56,79,0.992105263157895,0.977789473684211,1.0146409731941,0.01
"night7","N",57,79,1,0.986764705882353,1.01341281669151,0.02
"night7","N",58,79,1,0.986764705882353,1.01341281669151,0.02
"night7","N",59,79,1,0.986764705882353,1.01341281669151,0.02
"night7","N",60,79,1,0.986764705882353,1.01341281669151,0.02
"night7","N",61,79,1,0.986764705882353,1.01341281669151,0.02
"night7","N",62,79,1,0.988014705882353,1.01213068393243,0.04
"night7","N",63,79,1,0.988014705882353,1.01213068393243,0.04
"night7","N",64,79,1,0.989125,1.01099456590421,0.09
"night7","N",65,79,1,0.989125,1.01099456590421,0.09
"night7","N",66,79,1,0.989125,1.01099456590421,0.09
"night7","N",67,79,1,0.989761904761905,1.01034399807554,0.13
"night7","N",68,79,1,0.989761904761905,1.01034399807554,0.13
"night7","N",69,79,1,0.989761904761905,1.01034399807554,0.13
"night7","N",70,79,1,0.989761904761905,1.01034399807554,0.13
"night7","N",71,79,1,0.991474358974359,1.00859895260878,0.32
"night7","N",72,79,1,0.993257575757576,1.00678819312028,0.46
"night7","N",73,79,1,0.994727272727273,1.00530067629318,0.61
"night7","N",74,79,1,0.995777777777778,1.0042401249721,0.68
"night7","N",75,79,1,0.995777777777778,1.0042401249721,0.68
"night7","N",76,79,1,0.995777777777778,1.0042401249721,0.68
"night7","N",77,79,1,0.995777777777778,1.0042401249721,0.68
"night7","N",78,79,1,0.995777777777778,1.0042401249721,0.68
"night7","N",79,79,1,0.995777777777778,1.0042401249721,0.68
"night7","N",80,79,1,0.995777777777778,1.0042401249721,0.68
"night7","N",81,79,1,0.99625,1.00376411543287,0.78
"night7","N",82,79,1,0.99625,1.00376411543287,0.78
"night7","N",83,79,1,0.995714285714286,1.00430416068867,0.8
"night7","N",84,79,1,0.995714285714286,1.00430416068867,0.8
"night7","N",85,79,1,0.995714285714286,1.00430416068867,0.8
"night7","N",86,79,1,0.995714285714286,1.00430416068867,0.8
"night7","N",87,79,1,0.995714285714286,1.00430416068867,0.8
"night7","N",88,79,1,0.995714285714286,1.00430416068867,0.8
"night7","N",89,79,1,0.995714285714286,1.00430416068867,0.8
"night7","N",90,79,1,0.996190476190476,1.0038240917782,0.84
"night7","N",91,79,1,0.997,1.00300902708124,0.94
"night7","N",92,79,1,0.996666666666667,1.00334448160535,0.98
"night7","N",93,79,1,0.996666666666667,1.00334448160535,0.98
"night7","N",94,79,1,0.996666666666667,1.00334448160535,0.98
"night7","N",95,79,1,0.995,1.00502512562814,0.99
"night7","N",96,79,1,0.995,1.00502512562814,0.99
"night7","N",97,79,1,0.995,1.00502512562814,0.99
"night7","N",98,79,1,0.995,1.00502512562814,0.99
"night7","N",99,79,1,0.995,1.00502512562814,0.99
"night7","N",100,79,1,0.995,1.00502512562814,0.99
"night7","N",101,79,1,0.995,1.00502512562814,0.99
"night7","N",102,79,1,0.995,1.00502512562814,0.99
"night7","N",103,79,1,0.995,1.00502512562814,0.99
"night7","N",104,79,1,0.995,1.00502512562814,0.99
"night7","N",105,79,1,0.995,1.00502512562814,0.99
"night7","N",106,79,1,0.995,1.00502512562814,0.99
"night7","N",107,79,1,0.995,1.00502512562814,0.99
"night7","N",108,79,1,0.995,1.00502512562814,0.99
"night7","N",109,79,1,0.995,1.00502512562814,0.99
"night7","N",110,79,1,0.995,1.00502512562814,0.99
"night7","N",111,79,1,0.995,1.00502512562814,0.99
"night7","N",112,79,1,0.995,1.00502512562814,0.99
"night7","N",113,79,1,0.995,1.00502512562814,0.99
"night7","N",114,79,NA,NA,NA,NA
"night7","N",115,79,NA,NA,NA,NA
"day3","D",1,47,0.142857142857143,0.142857142857143,1,1
"day3","D",2,47,0.16,0.16,1,1
"day3","D",3,47,0.177536231884058,0.177644927536232,0.9993881297165,1
"day3","D",4,47,0.218421052631579,0.217526315789474,1.0041132349383,0.53
"day3","D",5,47,0.261029411764706,0.253897058823529,1.02809151462496,0.14
"day3","D",6,47,0.333333333333333,0.314807692307692,1.05884748523722,0.11
"day3","D",7,47,0.430555555555556,0.405694444444444,1.06128038343033,0.24
"day3","D",8,47,0.6,0.514666666666667,1.16580310880829,0.1
"day3","D",9,47,0.666666666666667,0.656666666666667,1.01522842639594,0.65
"day3","D",10,47,0.833333333333333,0.761666666666667,1.09409190371991,0.54
"day3","D",11,47,0.833333333333333,0.761666666666667,1.09409190371991,0.54
"day3","D",12,47,NA,NA,NA,NA
"day3","D",13,47,NA,NA,NA,NA
"day3","D",14,47,NA,NA,NA,NA
"day3","D",15,47,NA,NA,NA,NA
"day3","D",16,47,NA,NA,NA,NA
"day3","D",17,47,NA,NA,NA,NA
"day3","D",18,47,NA,NA,NA,NA
"day3","D",19,47,NA,NA,NA,NA
"day3","D",20,47,NA,NA,NA,NA
"day3","D",21,47,NA,NA,NA,NA
"day3","D",22,47,NA,NA,NA,NA
"day3","D",23,47,NA,NA,NA,NA
"day3","D",24,47,NA,NA,NA,NA
"day3","D",25,47,NA,NA,NA,NA
"day3","D",26,47,NA,NA,NA,NA
"day3","D",27,47,NA,NA,NA,NA
"day3","D",28,47,NA,NA,NA,NA
"day3","D",29,47,NA,NA,NA,NA
"day3","D",30,47,NA,NA,NA,NA
"day3","D",31,47,NA,NA,NA,NA
"day3","D",32,47,NA,NA,NA,NA
"day3","D",33,47,NA,NA,NA,NA
"day3","D",34,47,NA,NA,NA,NA
"day3","D",35,47,NA,NA,NA,NA
"day3","D",36,47,NA,NA,NA,NA
"day3","D",37,47,NA,NA,NA,NA
"day3","D",38,47,NA,NA,NA,NA
"day3","D",39,47,NA,NA,NA,NA
"day3","D",40,47,NA,NA,NA,NA
"day3","D",41,47,NA,NA,NA,NA
"day3","D",42,47,NA,NA,NA,NA
"day3","D",43,47,NA,NA,NA,NA
"day3","D",44,47,NA,NA,NA,NA
"day3","D",45,47,NA,NA,NA,NA
"day3","D",46,47,NA,NA,NA,NA
"day3","D",47,47,NA,NA,NA,NA
"day3","D",48,47,NA,NA,NA,NA
"day3","D",49,47,NA,NA,NA,NA
"day4","D",1,61,0.154106280193237,0.154115942028986,0.999937308005768,1
"day4","D",2,61,0.188414634146341,0.188469512195122,0.999708822673008,1
"day4","D",3,61,0.213371266002845,0.213520625889047,0.99930048965724,1
"day4","D",4,61,0.253119429590018,0.25349376114082,0.998523310597004,1
"day4","D",5,61,0.303448275862069,0.304528735632184,0.996452026874009,1
"day4","D",6,61,0.317733990147783,0.319162561576355,0.995524000617379,1
"day4","D",7,61,0.349002849002849,0.35,0.997150997150997,0.88
"day4","D",8,61,0.405797101449275,0.404673913043478,1.00277553943952,0.43
"day4","D",9,61,0.424901185770751,0.424723320158103,1.0004187799544,0.55
"day4","D",10,61,0.464285714285714,0.468047619047619,0.991962559772103,0.86
"day4","D",11,61,0.523391812865497,0.51812865497076,1.01015801354402,0.28
"day4","D",12,61,0.523391812865497,0.51812865497076,1.01015801354402,0.28
"day4","D",13,61,0.577205882352941,0.570110294117647,1.01244599213259,0.3
"day4","D",14,61,0.6,0.597958333333333,1.00341439620932,0.54
"day4","D",15,61,0.6,0.597958333333333,1.00341439620932,0.54
"day4","D",16,61,0.633333333333333,0.623333333333333,1.01604278074866,0.28
"day4","D",17,61,0.772727272727273,0.728409090909091,1.06084243369735,0.02
"day4","D",18,61,0.809090909090909,0.764181818181818,1.05876754699025,0.03
"day4","D",19,61,0.809090909090909,0.764181818181818,1.05876754699025,0.03
"day4","D",20,61,0.809090909090909,0.764181818181818,1.05876754699025,0.03
"day4","D",21,61,0.916666666666667,0.839722222222222,1.09163083030103,0
"day4","D",22,61,0.916666666666667,0.839722222222222,1.09163083030103,0
"day4","D",23,61,0.916666666666667,0.839722222222222,1.09163083030103,0
"day4","D",24,61,0.964285714285714,0.868214285714286,1.11065405183052,0
"day4","D",25,61,0.976190476190476,0.889761904761905,1.0971367407011,0.03
"day4","D",26,61,0.976190476190476,0.889761904761905,1.0971367407011,0.03
"day4","D",27,61,0.976190476190476,0.889761904761905,1.0971367407011,0.03
"day4","D",28,61,1,0.9425,1.06100795755968,0.34
"day4","D",29,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",30,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",31,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",32,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",33,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",34,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",35,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",36,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",37,61,1,0.966666666666667,1.03448275862069,0.7
"day4","D",38,61,1,0.978333333333333,1.0221465076661,0.87
"day4","D",39,61,1,0.978333333333333,1.0221465076661,0.87
"day4","D",40,61,1,0.978333333333333,1.0221465076661,0.87
"day4","D",41,61,1,0.978333333333333,1.0221465076661,0.87
"day4","D",42,61,1,0.99,1.01010101010101,0.98
"day4","D",43,61,1,0.99,1.01010101010101,0.98
"day4","D",44,61,1,0.99,1.01010101010101,0.98
"day4","D",45,61,1,0.99,1.01010101010101,0.98
"day4","D",46,61,1,0.99,1.01010101010101,0.98
"day4","D",47,61,1,0.99,1.01010101010101,0.98
"day4","D",48,61,1,0.99,1.01010101010101,0.98
"day4","D",49,61,1,0.99,1.01010101010101,0.98
"day4","D",50,61,1,0.99,1.01010101010101,0.98
"day4","D",51,61,1,0.99,1.01010101010101,0.98
"day4","D",52,61,1,0.99,1.01010101010101,0.98
"day4","D",53,61,1,0.99,1.01010101010101,0.98
"day4","D",54,61,1,0.99,1.01010101010101,0.98
"day4","D",55,61,1,0.99,1.01010101010101,0.98
"day4","D",56,61,NA,NA,NA,NA
"day4","D",57,61,NA,NA,NA,NA
"day4","D",58,61,NA,NA,NA,NA
"day5","D",1,71,0.108333333333333,0.108397435897436,0.999408633944412,1
"day5","D",2,71,0.139928698752228,0.140401069518717,0.996635561480353,1
"day5","D",3,71,0.185185185185185,0.185992063492063,0.995661759476566,0.79
"day5","D",4,71,0.237154150197628,0.241818181818182,0.9807126511932,0.98
"day5","D",5,71,0.266666666666667,0.270166666666667,0.987045033929673,0.88
"day5","D",6,71,0.281578947368421,0.285236842105263,0.987175938739736,0.82
"day5","D",7,71,0.345833333333333,0.354791666666667,0.974750440399295,0.86
"day5","D",8,71,0.588888888888889,0.561666666666667,1.0484668644906,0.2
"day5","D",9,71,0.722222222222222,0.619166666666667,1.16644235082997,0
"day5","D",10,71,0.785714285714286,0.685357142857143,1.14643043251694,0.02
"day5","D",11,71,0.785714285714286,0.685357142857143,1.14643043251694,0.02
"day5","D",12,71,0.785714285714286,0.685357142857143,1.14643043251694,0.02
"day5","D",13,71,0.857142857142857,0.746190476190476,1.148691767709,0.02
"day5","D",14,71,0.857142857142857,0.746190476190476,1.148691767709,0.02
"day5","D",15,71,0.857142857142857,0.746190476190476,1.148691767709,0.02
"day5","D",16,71,0.857142857142857,0.746190476190476,1.148691767709,0.02
"day5","D",17,71,0.857142857142857,0.746190476190476,1.148691767709,0.02
"day5","D",18,71,0.857142857142857,0.746190476190476,1.148691767709,0.02
"day5","D",19,71,0.857142857142857,0.746190476190476,1.148691767709,0.02
"day5","D",20,71,0.9,0.816,1.10294117647059,0.22
"day5","D",21,71,1,0.840833333333333,1.18929633300297,0.15
"day5","D",22,71,1,0.840833333333333,1.18929633300297,0.15
"day5","D",23,71,1,0.840833333333333,1.18929633300297,0.15
"day5","D",24,71,1,0.865,1.15606936416185,0.45
"day5","D",25,71,1,0.865,1.15606936416185,0.45
"day5","D",26,71,1,0.92,1.08695652173913,0.85
"day5","D",27,71,1,0.92,1.08695652173913,0.85
"day5","D",28,71,1,0.92,1.08695652173913,0.85
"day5","D",29,71,1,0.92,1.08695652173913,0.85
"day5","D",30,71,1,0.92,1.08695652173913,0.85
"day5","D",31,71,1,0.92,1.08695652173913,0.85
"day5","D",32,71,1,0.92,1.08695652173913,0.85
"day5","D",33,71,1,0.92,1.08695652173913,0.85
"day5","D",34,71,NA,NA,NA,NA
"day5","D",35,71,NA,NA,NA,NA
"day6","D",1,56,0.212070874861573,0.212070874861573,1,1
"day6","D",2,56,0.241666666666667,0.241673076923077,0.999973475504628,1
"day6","D",3,56,0.263869132290185,0.263890469416785,0.999919144004528,1
"day6","D",4,56,0.288095238095238,0.288142857142857,0.999834738059825,1
"day6","D",5,56,0.314616755793226,0.314723707664884,0.999660172179429,1
"day6","D",6,56,0.34375,0.343971774193548,0.999355254674404,1
"day6","D",7,56,0.375862068965517,0.376367816091954,0.998656242365013,1
"day6","D",8,56,0.411375661375661,0.412407407407407,0.997498235935596,1
"day6","D",9,56,0.43019943019943,0.431737891737892,0.996436584400158,1
"day6","D",10,56,0.494565217391304,0.497192028985507,0.994716706139552,0.91
"day6","D",11,56,0.494565217391304,0.497192028985507,0.994716706139552,0.91
"day6","D",12,56,0.515810276679842,0.519762845849802,0.992395437262357,0.96
"day6","D",13,56,0.515810276679842,0.519762845849802,0.992395437262357,0.96
"day6","D",14,56,0.515810276679842,0.519762845849802,0.992395437262357,0.96
"day6","D",15,56,0.536796536796537,0.540238095238095,0.993629552466044,0.91
"day6","D",16,56,0.536796536796537,0.540238095238095,0.993629552466044,0.91
"day6","D",17,56,0.58421052631579,0.580289473684211,1.00675706317174,0.32
"day6","D",18,56,0.608187134502924,0.601081871345029,1.01182079097145,0.18
"day6","D",19,56,0.627450980392157,0.620294117647059,1.01153785364312,0.28
"day6","D",20,56,0.683333333333333,0.663833333333333,1.0293748430831,0.03
"day6","D",21,56,0.725274725274725,0.703791208791209,1.03052541181981,0.11
"day6","D",22,56,0.888888888888889,0.834222222222222,1.06553010122536,0.03
"day6","D",23,56,0.930555555555556,0.873472222222222,1.06535220225791,0.06
"day6","D",24,56,0.964285714285714,0.911607142857143,1.05778648383937,0.09
"day6","D",25,56,0.964285714285714,0.911607142857143,1.05778648383937,0.09
"day6","D",26,56,1,0.945,1.05820105820106,0.09
"day6","D",27,56,1,0.945,1.05820105820106,0.09
"day6","D",28,56,1,0.945,1.05820105820106,0.09
"day6","D",29,56,1,0.945,1.05820105820106,0.09
"day6","D",30,56,1,0.945,1.05820105820106,0.09
"day6","D",31,56,1,0.945,1.05820105820106,0.09
"day6","D",32,56,1,0.945,1.05820105820106,0.09
"day6","D",33,56,1,0.945,1.05820105820106,0.09
"day6","D",34,56,1,0.955333333333333,1.04675505931612,0.23
"day6","D",35,56,1,0.9705,1.03039670273055,0.52
"day6","D",36,56,1,0.986666666666667,1.01351351351351,0.84
"day6","D",37,56,1,0.986666666666667,1.01351351351351,0.84
"day6","D",38,56,1,0.995,1.00502512562814,0.97
"day6","D",39,56,1,0.995,1.00502512562814,0.97
"day6","D",40,56,1,0.995,1.00502512562814,0.97
"day6","D",41,56,1,0.995,1.00502512562814,0.97
"day6","D",42,56,1,0.995,1.00502512562814,0.97
"day6","D",43,56,1,0.995,1.00502512562814,0.97
"day6","D",44,56,1,0.995,1.00502512562814,0.97
"day6","D",45,56,1,0.995,1.00502512562814,0.97
"day6","D",46,56,1,0.995,1.00502512562814,0.97
"day6","D",47,56,1,0.995,1.00502512562814,0.97
"day6","D",48,56,1,0.99,1.01010101010101,0.98
"day6","D",49,56,1,0.99,1.01010101010101,0.98
"day6","D",50,56,1,0.99,1.01010101010101,0.98
"day6","D",51,56,1,0.99,1.01010101010101,0.98
"day6","D",52,56,1,0.99,1.01010101010101,0.98
"day6","D",53,56,1,0.99,1.01010101010101,0.98
"day6","D",54,56,1,0.99,1.01010101010101,0.98
"day6","D",55,56,1,0.99,1.01010101010101,0.98
"day6","D",56,56,NA,NA,NA,NA
"day6","D",57,56,NA,NA,NA,NA
"day6","D",58,56,NA,NA,NA,NA
"day6","D",59,56,NA,NA,NA,NA
"day6","D",60,56,NA,NA,NA,NA
"day6","D",61,56,NA,NA,NA,NA
"day6","D",62,56,NA,NA,NA,NA
"day6","D",63,56,NA,NA,NA,NA
"day6","D",64,56,NA,NA,NA,NA
"day6","D",65,56,NA,NA,NA,NA
"day6","D",66,56,NA,NA,NA,NA
"day6","D",67,56,NA,NA,NA,NA
"day6","D",68,56,NA,NA,NA,NA
"day6","D",69,56,NA,NA,NA,NA
"day6","D",70,56,NA,NA,NA,NA
