"animal","condition","neuron_id","region","node_strength","clustering_coefficient","local_efficiency","hub_score","z_score"
"day1","ongoing",28,"VM-thalamus",-10.466637,0.746666666666667,0.367667223604631,0.140450967107135,1.62551115847913
"day1","ongoing",29,"VM-thalamus",-43.173188,0.821844821844822,0.392553016394739,0.61239467816863,-0.108234393849871
"day1","ongoing",30,"VM-thalamus",-33.773028,0.879807692307692,0.390999128250339,0.45394729089268,0.390059834458732
"day1","ongoing",31,"VM-thalamus",-63.595434,0.689205397301349,0.418542621973166,0.823864029307758,-1.19079972368452
"day1","ongoing",32,"VM-thalamus",-61.570918,0.703346203346203,0.408656293081174,0.846134805563173,-1.083481908039
"day1","ongoing",33,"VM-thalamus",-50.168755,0.758217821782178,0.397602762135004,0.625608494352841,-0.479063258448574
"day1","ongoing",34,"VM-thalamus",-27.951682,0.825660699062234,0.38759469226319,0.331710446669816,0.69864427480734
"day1","ongoing",35,"VM-thalamus",-62.331372,0.742318059299191,0.40761583838222,0.791067769036626,-1.12379290690435
"day1","ongoing",36,"VM-thalamus",-62.381881,0.732636295743092,0.399293781348237,0.80360541446349,-1.12647034464772
"day1","ongoing",37,"VM-thalamus",-25.836138,0.841613091759205,0.377396447100248,0.40386995740511,0.810787404810754
"day1","ongoing",38,"VM-thalamus",-55.327401,0.747062461348176,0.399982359770167,0.681406666800082,-0.752518553644323
"day1","ongoing",39,"VM-thalamus",-73.641561,0.696109839816934,0.417678818491051,0.903325597553558,-1.72333609550747
"day1","ongoing",40,"VM-thalamus",-52.835594,0.743351886209029,0.400820334887725,0.658796413013591,-0.620430052367857
"day1","ongoing",41,"VM-thalamus",-61.670767,0.737965085522836,0.406480207039746,0.818052164689225,-1.08877481586209
"day1","ongoing",42,"VM-thalamus",-72.236824,0.697635392829901,0.4137800277287,0.891276748252875,-1.64887222048922
"day1","ongoing",43,"VM-thalamus",-33.086331,0.847596153846154,0.379267364083144,0.463764516026617,0.426461039512352
"day1","ongoing",44,"VM-thalamus",-49.420417,0.788826516974071,0.390822965920682,0.652298678007362,-0.43939451810543
"day1","ongoing",45,"VM-thalamus",-67.304149,0.741224794622853,0.397329703891468,0.892977878494839,-1.38739544960211
"day1","ongoing",46,"VM-thalamus",-34.254099,0.833765272121436,0.38998318402273,0.601511425670789,0.364558683126558
"day1","ongoing",47,"VM-thalamus",-21.543206,0.901595744680851,0.39330243839737,0.267353254011067,1.03835196095887
"day1","ongoing",48,"VM-thalamus",-53.740619,0.789325842696629,0.392262547279897,0.737941473982597,-0.66840463301063
"day1","ongoing",49,"VM-thalamus",-14.442391,0.788344988344988,0.403880115873479,0.261031850126922,1.41475992963038
"day1","ongoing",50,"VM-thalamus",-48.019084,0.757575757575758,0.404673102102147,0.652278039966168,-0.365111086138486
"day1","ongoing",51,"VM-thalamus",-38.735702,0.800949367088608,0.376263412497536,0.558492726930966,0.12699284292059
"day1","ongoing",52,"VM-thalamus",-21.894956,0.768067226890756,0.379203255605049,0.153998768712732,1.01970600229354
"day1","ongoing",53,"VM-thalamus",-52.238369,0.767763157894737,0.40067530264717,0.67501389351837,-0.588771679478287
"day1","ongoing",54,"VM-thalamus",19.54822,0.704761904761905,0.363452450709113,-0.273731250482054,3.2165723751614
"day1","ongoing",55,"VM-thalamus",-43.573328,0.745489690721649,0.405002476434901,0.636639477292653,-0.129445463929041
"day1","ongoing",56,"VM-thalamus",-41.86249,0.806172839506173,0.387474509348929,0.604551181595956,-0.0387554436558718
"day1","ongoing",57,"VM-thalamus",-43.648597,0.741935483870968,0.388801077218614,0.623326279906297,-0.133435407533253
"day1","ongoing",58,"VM-thalamus",-18.183849,0.784769962982549,0.391526226075895,0.2887139785835,1.21642852603097
"day1","ongoing",59,"VM-thalamus",-27.764776,0.848692152917505,0.392287474427925,0.431756874354592,0.708551997764847
"day1","ongoing",60,"VM-thalamus",-81.225779,0.671148459383753,0.426230688014323,1,-2.12536883278367
"day1","ongoing",61,"VM-thalamus",-49.556054,0.821008403361345,0.394561204921135,0.69954535345304,-0.446584516386852
"day1","ongoing",62,"VM-thalamus",-27.976444,0.879336349924585,0.38461849602081,0.398756689602124,0.697331662928247
"day1","ongoing",63,"VM-thalamus",-41.934349,0.811342932706436,0.386509027479429,0.584704237126261,-0.042564626154046
"day1","ongoing",64,"VM-thalamus",-47.887013,0.809754851889683,0.396732076035525,0.710978288861074,-0.358110118386134
"day1","ongoing",65,"VM-thalamus",-32.864579,0.836660617059891,0.384546755033236,0.458873674099175,0.438215918335253
"day1","ongoing",66,"VM-thalamus",-68.74108,0.709860935524652,0.417227561936333,0.849961937609538,-1.4635659002942
"day1","ongoing",67,"VM-thalamus",-70.862464,0.706858407079646,0.414286233995441,0.926130407187289,-1.57601860357012
"day1","ongoing",68,"VM-thalamus",-6.306229,0.788306451612903,0.373926844539501,0.171370717143036,1.84605073374263
"day1","ongoing",69,"VM-thalamus",-17.833695,0.780938833570412,0.395755297101613,0.209121087341474,1.23498988213758
"day1","ongoing",70,"VM-thalamus",-30.04809,0.818511796733212,0.388658448796276,0.431774972299315,0.587515527362618
"day1","ongoing",71,"VM-thalamus",-2.671173,0.855981416957027,0.38013090840094,0.193140082439123,2.03874186074244
"day1","ongoing",72,"VM-thalamus",-25.411189,0.833107191316147,0.398413083731465,0.416429957353543,0.83331357819775
