"animal","day_night","neuron_id","region","community"
"night7","N",52,"ZI",9
"night7","N",53,"ZI",10
"night7","N",54,"DMH",11
"night7","N",55,"ZI",6
"night7","N",56,"DMH",1
"night7","N",57,"DMH",12
"night7","N",58,"DMH",13
"night7","N",59,"DMH",1
"night7","N",60,"DMH",14
"night7","N",61,"DMH",1
"night7","N",62,"PH",5
"night7","N",63,"PH",2
"night7","N",64,"PH",1
"night7","N",65,"DMH",3
"night7","N",66,"DMH",1
"night7","N",67,"DMH",6
"night7","N",68,"DMH",7
"night7","N",69,"DMH",8
"night7","N",70,"ZI",1
"night7","N",71,"ZI",9
"night7","N",72,"ZI",10
"night7","N",73,"DMH",11
"night7","N",74,"VM-thalamus",6
"night7","N",75,"DMH",1
"night7","N",76,"DMH",12
"night7","N",77,"DMH",13
"night7","N",78,"DMH",14
"night7","N",79,"DMH",1
"day3","D",1,"PH",1
"day3","D",2,"MC",1
"day3","D",3,"MC",1
"day3","D",4,"MC",1
"day3","D",5,"MC",2
"day3","D",6,"MC",1
"day3","D",7,"PH",3
"day3","D",8,"PH",2
"day3","D",9,"MC",1
"day3","D",10,"MC",4
"day3","D",11,"PH",4
"day3","D",12,"PH",4
"day3","D",13,"MC",2
"day3","D",14,"MC",1
"day3","D",15,"MC",1
"day3","D",16,"PH",4
"day3","D",17,"PH",4
"day3","D",18,"MC",4
"day3","D",19,"MC",4
"day3","D",20,"MC",4
"day3","D",21,"MC",4
"day3","D",22,"PVH",4
"day3","D",23,"PH",2
"day3","D",24,"PVH",4
"day3","D",25,"PVH",1
"day3","D",26,"ARH",2
"day3","D",27,"ARH",5
"day3","D",28,"ARH",1
"day3","D",29,"PVH",2
"day3","D",30,"MC",2
"day3","D",31,"PH",2
"day3","D",32,"DMH",2
"day3","D",33,"DMH",2
"day3","D",34,"DMH",4
"day3","D",35,"DMH",2
"day3","D",36,"MC",4
"day3","D",37,"PH",2
"day3","D",38,"PH",1
"day3","D",39,"PH",1
"day3","D",40,"PH",4
"day3","D",41,"MC",1
"day3","D",42,"MC",2
"day3","D",43,"ARH",1
"day3","D",44,"ARH",1
"day3","D",45,"ARH",1
"day3","D",46,"ARH",1
"day4","D",1,"VMH",1
"day4","D",2,"VMH",1
"day4","D",3,"DMH",1
"day4","D",4,"VM-thalamus",1
"day4","D",5,"VM-thalamus",1
"day4","D",6,"VM-thalamus",1
"day4","D",7,"VM-thalamus",1
"day4","D",8,"VM-thalamus",2
"day4","D",9,"VMH",1
"day4","D",10,"VMH",1
"day4","D",11,"VMH",1
"day4","D",12,"VMH",1
"day4","D",13,"DMH",2
"day4","D",14,"DMH",2
"day4","D",15,"DMH",2
"day4","D",16,"DMH",2
"day4","D",17,"DMH",2
"day4","D",18,"DMH",1
"day4","D",19,"DMH",2
"day4","D",20,"DMH",2
"day4","D",21,"DMH",2
"day4","D",22,"DMH",1
"day4","D",23,"DMH",1
"day4","D",24,"DMH",1
"day4","D",25,"DMH",1
"day4","D",26,"DMH",1
"day4","D",27,"DMH",1
"day4","D",28,"DMH",1
"day4","D",29,"DMH",1
"day4","D",30,"DMH",1
"day4","D",31,"DMH",1
"day4","D",32,"DMH",1
"day4","D",33,"DMH",1
"day4","D",34,"DMH",1
"day4","D",35,"DMH",1
"day4","D",36,"PH",1
"day4","D",37,"PH",1
"day4","D",38,"PH",1
"day4","D",39,"PH",1
"day4","D",40,"DMH",2
"day4","D",41,"DMH",1
"day4","D",42,"DMH",1
"day4","D",43,"DMH",3
"day4","D",44,"DMH",3
"day4","D",45,"DMH",3
"day4","D",46,"DMH",3
"day4","D",47,"DMH",3
"day4","D",48,"DMH",3
"day4","D",49,"DMH",3
"day4","D",50,"DMH",3
"day4","D",51,"PH",1
"day4","D",52,"PH",1
"day4","D",53,"PH",1
"day4","D",54,"PH",1
"day4","D",55,"PH",1
"day4","D",56,"PH",1
"day4","D",57,"PH",1
"day4","D",58,"PH",1
"day4","D",59,"PH",1
"day4","D",60,"PH",1
"day4","D",61,"PH",1
"day5","D",1,"DMH",1
"day5","D",2,"PH",1
"day5","D",3,"PH",2
"day5","D",4,"PH",1
"day5","D",5,"PH",2
"day5","D",6,"PH",2
"day5","D",7,"PH",2
"day5","D",8,"PH",2
"day5","D",9,"PH",1
"day5","D",10,"PH",1
"day5","D",11,"PH",1
"day5","D",12,"PH",2
"day5","D",13,"PH",2
"day5","D",14,"PH",1
"day5","D",15,"PH",2
"day5","D",16,"PH",2
"day5","D",17,"PH",1
"day5","D",18,"PH",3
"day5","D",19,"MC",1
"day5","D",20,"MC",2
"day5","D",21,"MC",1
"day5","D",22,"MC",2
"day5","D",23,"MC",3
"day5","D",24,"MC",2
"day5","D",25,"MC",2
"day5","D",26,"MC",2
