0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.315333	0	5.253644	6.712003	5.284527	3.643996	4.065759	5.030899	3.40986	0	5.136949	5.428256	6.147291	7.100819	0	0	0	5.145958	7.174584	0	0	6.967494	3.99598	5.65666	4.661627	5.598812	3.925023	6.901804	4.076961	5.734929	4.680027	0	6.446328	5.48415	4.923327
4.118888	4.985875	2.468672	3.648344	2.727605	1.528113	1.525629	1.925272	1.611598	0	2.5172	3.256418	4.00493	4.123324	5.371289	0	5.408646	0	4.808058	4.558838	4.347958	3.977233	2.366359	3.114788	2.042666	2.629117	1.901274	2.773621	1.985139	2.187896	1.899187	5.273766	3.305273	2.763615	2.422169
4.907026	5.332972	3.283082	4.760932	2.931534	1.473404	1.619308	2.430905	1.689601	0	2.970849	4.125167	5.13953	4.753759	5.436358	0	6.802952	4.478786	0	5.916147	5.177702	5.474898	2.685282	3.066027	1.949625	4.041497	1.69524	4.962041	2.588795	4.96708	1.912539	5.615748	3.781583	3.11947	4.043693
7.226386	7.663369	5.110634	5.94607	4.992296	3.707795	4.014395	4.783209	4.23695	0	5.089512	6.2459	6.481464	6.426586	0	0	0	6.235002	6.296522	0	0	6.316279	5.086163	5.575763	4.457568	5.826876	3.830767	6.715041	4.224328	6.913829	3.801785	0	5.818665	4.300174	5.723578
6.213029	7.265055	4.38552	5.578429	3.992577	3.054638	3.38282	4.025642	3.142594	0	4.472697	4.984984	5.57912	5.969858	0	0	0	5.081671	6.644431	0	0	6.472179	4.396542	4.520985	3.807728	4.284076	3.206991	5.80582	3.906863	5.967261	3.340116	0	5.146839	4.328839	4.502334
3.248065	4.239986	2.020009	3.487217	1.623962	1.309424	0.742537	2.028656	1.080409	0	1.954215	3.267774	3.906025	3.208829	4.64168	0	4.811324	3.006722	2.848378	5.146085	4.90338	0	1.543213	2.337839	1.341233	2.808512	1.507682	3.194389	1.633297	2.836126	1.581543	5.321423	2.657724	2.661585	3.301715
2.433163	3.759207	1.600961	2.71973	1.676807	0.93547	0.962811	1.556517	1.143864	0	1.568004	2.753497	3.06355	2.515565	4.290537	0	4.694926	2.629239	3.469914	4.113642	3.899966	2.589641	0	1.875498	1.048754	2.015318	1.210101	1.539084	2.001969	1.85054	1.73839	4.046572	1.777115	2.107665	2.340381
1.691065	2.927493	1.100017	2.199212	0.916151	0.858596	0.568191	1.058179	0.891874	4.578026	1.033147	1.264096	2.608393	2.30885	3.82076	0	3.711644	1.550182	2.398321	3.863222	2.484907	2.691984	1.34812	0	0.76872	1.117146	0.642485	1.570744	1.094518	1.284425	1.045607	3.980651	1.466734	1.624235	1.290284
1.23893	2.167906	0.741413	1.498987	0.697974	0.871927	0.610412	1.153331	0.96316	3.132702	0.978714	1.342897	1.844711	1.542011	1.433975	0	2.1188	0.576184	1.462547	1.804597	2.023914	2.087464	1.235459	1.042792	0	0.748403	0.928781	0.420297	0.919131	0	1.109593	3.223211	1.138012	1.198591	1.38308
3.032204	3.677993	1.557917	2.794794	2.102147	1.19239	1.109862	1.530797	1.415578	0	1.57597	2.687133	3.298604	3.051979	4.076824	0	3.583902	2.07781	3.236007	4.598104	4.23276	3.134216	1.969678	1.860377	1.262838	0	1.29189	1.920588	1.561781	1.931767	1.705958	4.160225	2.090872	2.170823	1.735534
